Peer ID : 9
Mean Block Creation Time : 30000.0 ms

5f49d870-0e6f-11ec-8feb-0dcea3726d40 : 7268106.7 ms

5f49d8ad-0e6f-11ec-8feb-0dcea3726d40 : 7315274.44 ms

5f49d8ea-0e6f-11ec-8feb-0dcea3726d40 : 7362738.69 ms

5f49d8fa-0e6f-11ec-8feb-0dcea3726d40 : 7368568.41 ms

5f49d913-0e6f-11ec-8feb-0dcea3726d40 : 7407384.48 ms

5f49d92b-0e6f-11ec-8feb-0dcea3726d40 : 7469378.74 ms

5f49d97c-0e6f-11ec-8feb-0dcea3726d40 : 7563924.19 ms

5f49d9ba-0e6f-11ec-8feb-0dcea3726d40 : 7594740.1 ms

5f49d9db-0e6f-11ec-8feb-0dcea3726d40 : 7642464.17 ms

5f49da04-0e6f-11ec-8feb-0dcea3726d40 : 7644700.68 ms

5f49da10-0e6f-11ec-8feb-0dcea3726d40 : 7728130.64 ms

5fb6a73c-0e6f-11ec-8feb-0dcea3726d40 : 7795057.82 ms

5fb6a762-0e6f-11ec-8feb-0dcea3726d40 : 7900287.77 ms

5fb6a7a3-0e6f-11ec-8feb-0dcea3726d40 : 7954046.1 ms

5fb6a7c0-0e6f-11ec-8feb-0dcea3726d40 : 7966403.72 ms

5fb6a7e3-0e6f-11ec-8feb-0dcea3726d40 : 7984692.61 ms

5fb6a7ea-0e6f-11ec-8feb-0dcea3726d40 : 7992151.17 ms

5fb6a80a-0e6f-11ec-8feb-0dcea3726d40 : 8108016.9 ms

5fb6a831-0e6f-11ec-8feb-0dcea3726d40 : 8139849.03 ms

5fb6a85c-0e6f-11ec-8feb-0dcea3726d40 : 8208976.24 ms

5fb6a87d-0e6f-11ec-8feb-0dcea3726d40 : 8241713.93 ms

5fb6a8a1-0e6f-11ec-8feb-0dcea3726d40 : 8241859.18 ms

5fb6a8bb-0e6f-11ec-8feb-0dcea3726d40 : 8259178.81 ms

5fb6a8d7-0e6f-11ec-8feb-0dcea3726d40 : 8301237.84 ms

5fb6a8fe-0e6f-11ec-8feb-0dcea3726d40 : 8302965.96 ms

5fb6a90f-0e6f-11ec-8feb-0dcea3726d40 : 8317669.05 ms

5fb6a929-0e6f-11ec-8feb-0dcea3726d40 : 8326266.65 ms

5fb6a95b-0e6f-11ec-8feb-0dcea3726d40 : 8377772.64 ms

5fb6a9b4-0e6f-11ec-8feb-0dcea3726d40 : 8452017.26 ms

5fb6a9ca-0e6f-11ec-8feb-0dcea3726d40 : 8507760.9 ms

